"state","year","pct_D","pct_R","pct_I","win_D","win_R","win_I"
"MT",2012,48.9049,47.339,3.75603,1,0,0
"NC",1948,73.1553,26.4138,0.430864,1,0,0
"NC",1952,67.5044,32.4956,0,1,0,NA
"NC",1956,66.952,33.048,0,1,0,NA
"NC",1960,54.4483,45.4675,0.0841998,1,0,0
"NC",1964,56.5942,43.4058,0,1,0,NA
"NC",1968,52.7003,47.2997,0,1,0,NA
"NC",1972,48.4524,51.002,0.545659,0,1,0
"NC",1976,64.9908,33.9052,0.817665,1,0,0
"NC",1980,61.8775,37.4276,0.53864,1,0,0
"NC",1984,45.4123,54.2575,0.207075,0,1,0
"NC",1988,43.9301,56.0699,0,0,1,NA
"NC",1992,54.9452,45.0548,0,1,0,NA
"NC",1996,56.3111,43.0006,0.688251,1,0,0
"NC",2000,52.159,46.3865,1.45449,1,0,0
"NC",2004,55.5996,42.8954,1.50498,1,0,0
"NC",2008,50.2745,46.8774,2.84811,1,0,0
"NC",2012,43.2411,54.6386,2.11892,0,1,0
"ND",1946,31.1227,68.8773,0,0,1,NA
"ND",1948,37.5213,61.2976,0.871333,0,1,0
"ND",1950,33.7103,66.2897,0,0,1,NA
"ND",1952,21.2614,78.7386,0,0,1,NA
"ND",1954,35.7869,64.2131,0,0,1,NA
"ND",1956,41.543,58.457,0,0,1,NA
"ND",1958,46.8962,53.1038,0,0,1,NA
"ND",1960,49.4409,44.4797,6.07935,1,0,0
"ND",1962,50.4392,49.5608,0,1,0,NA
"ND",1964,55.7426,44.2574,0,1,0,NA
"ND",1968,54.8206,43.7024,1.47702,1,0,0
"ND",1972,51.0405,48.9595,0,1,0,NA
"ND",1976,51.576,46.5337,1.89033,1,0,0
"ND",1980,46.3917,53.6083,0,0,1,NA
"ND",1984,55.3219,44.6781,0,1,0,NA
"ND",1988,59.8816,40.1184,0,1,0,NA
"ND",1992,41.2483,58.7517,0,0,1,NA
"ND",1996,33.8077,66.1923,0,0,1,NA
"ND",2000,44.9704,55.0296,0,0,1,NA
"ND",2004,27.3909,71.256,1.35313,0,1,0
"ND",2008,23.5289,74.4425,2.02856,0,1,0
"ND",2012,34.3407,63.1481,1.68668,0,1,0
"NE",1946,34.4945,65.5055,0,0,1,NA
"NE",1948,39.933,60.067,0,0,1,NA
"NE",1950,45.058,54.942,0,0,1,NA
"NE",1952,38.567,61.433,0,0,1,NA
"NE",1954,39.7155,60.2845,0,0,1,NA
"NE",1956,40.1552,54.2836,5.56121,0,1,0
"NE",1958,50.1948,49.8052,0,1,0,NA
"NE",1960,52.008,47.992,0,1,0,NA
"NE",1962,52.237,47.763,0,1,0,NA
"NE",1964,60.0334,39.9666,0,1,0,NA
"NE",1966,38.4561,61.5439,0,0,1,NA
"NE",1970,53.8622,43.7729,2.36489,1,0,0
"NE",1974,59.1897,35.4191,5.39112,1,0,0
"NE",1978,44.0354,55.9646,0,0,1,NA
"NE",1982,50.6604,49.3396,0,1,0,NA
"NE",1986,47.0568,52.9432,0,0,1,NA
